#Autoshun shunlist by RiskAnalytics is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License.
#Commercial, educational, distribution, reuse, reseller and other license terms are available upon request.
#Contact us at sales@riskanalytics.com for special license needs
#Shunlist as of Sat, 24 Jun 2017 05:30:47 -0500
1.246.101.246,2017-06-19 08:01:03,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
5.3.173.102,2017-06-18 08:01:02,"source disclosure vulnerability"
5.8.48.21,2017-06-09 03:29:14,"MS Terminal Server scanner taffic on Non-standard Port"
5.10.171.122,2017-06-10 19:14:03,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
5.61.237.13,2017-06-19 08:01:03,"Recon scan activity detected in scoreboard data"
5.77.63.115,2017-06-10 10:16:35," Possible WordPress xmlrpc.php Bruteforce getCategories"
5.135.158.101,2017-06-13 08:01:02,"Possible WordPress xmlrpc.php Bruteforce - getAuthors"
5.175.2.253,2017-06-13 03:38:29,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
5.196.135.65,2017-06-13 14:24:03,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
8.40.61.46,2017-06-14 08:01:02,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
12.33.176.66,2017-06-09 07:15:31,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
12.150.239.205,2017-06-09 11:47:32,"ColdFusion adminapi access	"
12.163.187.130,2017-06-11 08:18:51,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
12.237.115.147,2017-06-11 00:24:10,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
13.68.88.62,2017-06-10 03:01:56,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
13.90.88.253,2017-06-11 20:11:40,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
14.166.38.16,2017-06-11 08:01:03,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
18.142.15.201,2017-06-12 14:08:20,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
23.111.138.34,2017-06-13 12:20:49,"Phishing Site"
23.228.231.30,2017-06-12 16:26:15,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
23.254.201.51,2017-06-13 02:08:54,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
24.111.188.110,2017-06-09 02:21:27,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
24.187.247.27,2017-06-09 16:49:49,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
24.227.215.130,2017-06-09 04:03:58,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
