#Autoshun shunlist by RiskAnalytics is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License.
#Commercial, educational, distribution, reuse, reseller and other license terms are available upon request.
#Contact us at sales@riskanalytics.com for special license needs
#Shunlist as of Tue, 20 Jun 2017 09:30:41 -0500
1.232.94.163,2017-06-20 09:01:02,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
1.246.101.246,2017-06-19 08:01:03,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
5.3.173.102,2017-06-18 08:01:02,"source disclosure vulnerability"
5.8.48.21,2017-06-09 03:29:14,"MS Terminal Server scanner taffic on Non-standard Port"
5.8.49.21,2017-06-10 08:01:02,"MS Terminal Server scanner taffic on Non-standard Port"
5.10.171.122,2017-06-10 19:14:03,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
5.39.218.151,2017-06-07 00:56:56,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
5.44.25.119,2017-06-08 12:00:14,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
5.61.237.13,2017-06-19 08:01:03,"Recon scan activity detected in scoreboard data"
5.77.63.115,2017-06-10 10:16:35," Possible WordPress xmlrpc.php Bruteforce getCategories"
5.199.130.3,2017-06-07 18:11:24,"Sipvicious Scan"
5.199.130.188,2017-06-18 08:01:02,"Possible WordPress xmlrpc.php Bruteforce - getAuthors"
12.33.176.66,2017-06-09 07:15:31,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
12.150.239.205,2017-06-09 11:47:32,"ColdFusion adminapi access	"
12.237.115.147,2017-06-11 00:24:10,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
13.68.88.62,2017-06-10 03:01:56,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
14.166.38.16,2017-06-11 08:01:03,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
23.224.254.59,2017-06-11 08:01:02,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
24.35.196.136,2017-06-20 09:01:02,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
24.46.113.177,2017-06-08 18:06:30,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
24.111.188.110,2017-06-09 02:21:27,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
24.187.247.27,2017-06-09 16:49:49,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
24.227.215.130,2017-06-09 04:03:58,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
27.28.100.231,2017-06-10 02:33:22,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
27.79.90.252,2017-06-06 14:33:09,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
27.255.77.136,2017-06-15 08:01:02,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
31.16.64.60,2017-06-08 02:34:21,"Incoming Masscan detected"
31.184.194.90,2017-06-07 20:20:41,"Wordpress linenity theme LFI attempt"
31.207.47.62,2017-06-15 08:01:02,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
31.207.47.63,2017-06-18 08:01:02,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
31.207.47.66,2017-06-10 03:12:01,"SSH Brute Force"
31.214.129.94,2017-06-10 22:44:51,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
34.208.133.126,2017-06-08 17:42:02,"Sipvicious Scan"
35.167.212.208,2017-06-13 08:01:02,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
35.187.122.58,2017-06-10 22:26:17,"RA SIP scanner detected VaxSIPUserAgent"
36.66.127.82,2017-06-06 05:53:33," Possible WordPress xmlrpc.php Bruteforce getCategories"
37.152.88.6,2017-06-07 11:55:42,"Malware Distribution Site"
37.187.7.74,2017-06-18 08:01:02,"Possible WordPress xmlrpc.php Bruteforce - getAuthors"
37.187.129.166,2017-06-19 08:01:03,"Possible WordPress xmlrpc.php Bruteforce - getAuthors"
38.88.12.170,2017-06-16 08:01:02,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
38.124.70.8,2017-06-08 19:30:05,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
42.96.177.34,2017-06-12 08:01:02,"WordPress xmlrpc.php Bruteforce"
42.112.17.30,2017-06-20 09:01:02,"Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt"
42.117.7.38,2017-06-09 17:03:01," Possible WordPress xmlrpc.php Bruteforce getCategories"
43.249.81.36,2017-06-09 19:10:31,"RA SCAN Unusually fast Terminal Server Traffic Inbound"
